ID,Team A,Team B,A,B,Tournament,Phase,Extra
24524,John V,Mick C,1,3,Manchester III,,
24525,John V,Robert S,0,2,Manchester III,,
24526,John V,Steve C,1,7,Manchester III,,
24527,John V,Steve E,1,13,Manchester III,,
24528,Lee W,Mark V,4,3,Manchester III,,
24529,Lee W,Mick C,4,4,Manchester III,,
24530,Lee W,Robert S,4,5,Manchester III,,
24531,Lee W,Steve C,5,6,Manchester III,,
24532,Lee W,Steve E,3,5,Manchester III,,
24533,Mark V,Mick C,5,7,Manchester III,,
24534,Mark V,Robert S,4,5,Manchester III,,
24535,Mark V,Steve C,4,8,Manchester III,,
24536,Mark V,Steve E,4,10,Manchester III,,
24537,Mick C,Robert S,1,6,Manchester III,,
24538,Mick C,Steve C,3,7,Manchester III,,
24539,Mick C,Steve E,4,6,Manchester III,,
24540,Robert S,Steve C,3,8,Manchester III,,
24541,Robert S,Steve E,3,5,Manchester III,,
24542,Steve C,Steve E,8,5,Manchester III,,
24543,Flavio Z,Gianni T,0,8,Milan XXXVI,,
24544,Paolo S,Fabio F,0,14,Milan XXXVI,,
24545,Alessandro V,Sandro T,3,2,Milan XXXVI,,
24546,Paolo S,Flavio Z,5,1,Milan XXXVI,,
24547,Alessandro V,Gianni T,1,9,Milan XXXVI,,
24548,Sandro T,Fabio F,3,7,Milan XXXVI,,
24549,Flavio Z,Alessandro V,5,9,Milan XXXVI,,
24550,Sandro T,Paolo S,4,1,Milan XXXVI,,
24551,Fabio F,Gianni T,0,7,Milan XXXVI,,
24552,Sandro T,Flavio Z,7,3,Milan XXXVI,,
24553,Fabio F,Alessandro V,11,4,Milan XXXVI,,
24554,Gianni T,Paolo S,12,1,Milan XXXVI,,
24555,Flavio Z,Fabio F,0,5,Milan XXXVI,,
24556,Gianni T,Sandro T,7,0,Milan XXXVI,,
24557,Paolo S,Alessandro V,2,4,Milan XXXVI,,
24558,Gianni T,Flavio Z,10,2,Milan XXXVI,,
24559,Fabio F,Paolo S,9,2,Milan XXXVI,,
24560,Sandro T,Alessandro V,4,4,Milan XXXVI,,
24561,Flavio Z,Paolo S,1,9,Milan XXXVI,,
24562,Gianni T,Alessandro V,7,4,Milan XXXVI,,
24563,Fabio F,Sandro T,13,0,Milan XXXVI,,
24564,Alessandro V,Flavio Z,5,2,Milan XXXVI,,
24565,Paolo S,Sandro T,2,4,Milan XXXVI,,
24566,Gianni T,Fabio F,8,3,Milan XXXVI,,
24567,Flavio Z,Sandro T,2,5,Milan XXXVI,,
24568,Alessandro V,Fabio F,3,9,Milan XXXVI,,
24569,Paolo S,Gianni T,3,13,Milan XXXVI,,
24570,Fabio F,Flavio Z,12,1,Milan XXXVI,,
24571,Sandro T,Gianni T,5,7,Milan XXXVI,,
24572,Alessandro V,Paolo S,2,2,Milan XXXVI,,
